                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.80097,                0.70336,                 1.0144,                0.77361,                 0.8062,                 0.8748,                0.79016,                 0.4722,                0.57182,                 0.8735,               0.002872,               0.002872,               0.002872
                     74,                0.79642,                0.69503,                 1.0094,                0.77315,                0.80714,                0.87507,                0.79042,                 0.4718,                0.57129,                0.87338,               0.002773,               0.002773,               0.002773
                     75,                0.79289,                0.69473,                 1.0095,                 0.7714,                0.80996,                0.87526,                 0.7907,                0.47158,                0.57056,                0.87311,               0.002674,               0.002674,               0.002674
                     76,                0.79305,                0.69714,                 1.0118,                0.76979,                0.81202,                0.87535,                0.79081,                0.47122,                0.57018,                0.87309,               0.002575,               0.002575,               0.002575
                     77,                0.78953,                0.69125,                 1.0052,                0.76937,                0.81293,                0.87556,                0.79119,                0.47114,                0.56952,                0.87293,               0.002476,               0.002476,               0.002476
                     78,                0.78862,                0.68779,                 1.0072,                0.76807,                0.81503,                0.87583,                0.79155,                0.47083,                0.56842,                0.87275,               0.002377,               0.002377,               0.002377
                     79,                0.78441,                0.68953,                 1.0049,                0.76752,                0.81601,                0.87603,                0.79174,                0.47035,                0.56792,                0.87263,               0.002278,               0.002278,               0.002278
                     80,                0.78398,                0.68663,                 1.0013,                0.76411,                 0.8213,                0.87624,                0.79204,                0.46995,                0.56688,                0.87238,               0.002179,               0.002179,               0.002179
                     81,                0.77832,                 0.6814,                 1.0025,                0.76527,                 0.8198,                0.87654,                0.79232,                0.46953,                  0.566,                0.87227,                0.00208,                0.00208,                0.00208
                     82,                0.77957,                0.68021,                 1.0029,                0.76555,                0.82045,                0.87667,                0.79245,                0.46929,                0.56555,                0.87224,               0.001981,               0.001981,               0.001981
                     83,                0.77631,                0.67759,                 1.0007,                0.76716,                0.81856,                0.87683,                0.79282,                0.46908,                0.56464,                0.87209,               0.001882,               0.001882,               0.001882
                     84,                 0.7749,                  0.677,                 1.0001,                0.76749,                0.81862,                0.87703,                 0.7928,                 0.4688,                0.56361,                0.87198,               0.001783,               0.001783,               0.001783
                     85,                 0.7738,                0.67473,                 1.0006,                0.76646,                0.82065,                0.87732,                0.79309,                0.46855,                0.56297,                0.87183,               0.001684,               0.001684,               0.001684
                     86,                0.76716,                0.66987,                0.99595,                0.76542,                 0.8212,                0.87747,                0.79323,                 0.4681,                0.56215,                0.87157,               0.001585,               0.001585,               0.001585
                     87,                0.76896,                0.66987,                0.99782,                0.76496,                0.82161,                0.87771,                0.79311,                0.46769,                0.56168,                0.87137,               0.001486,               0.001486,               0.001486
                     88,                0.76651,                0.66601,                0.99704,                0.76484,                0.82294,                0.87788,                0.79356,                0.46722,                0.56092,                0.87118,               0.001387,               0.001387,               0.001387
                     89,                0.76361,                0.66393,                0.99765,                0.76627,                0.82248,                0.87833,                0.79386,                0.46686,                0.56033,                0.87103,               0.001288,               0.001288,               0.001288
                     90,                0.75996,                0.66095,                0.99477,                 0.7652,                 0.8253,                0.87854,                0.79427,                0.46662,                0.55973,                0.87095,               0.001189,               0.001189,               0.001189
                     91,                 0.7269,                0.58711,                0.98845,                0.76578,                0.82537,                0.87877,                0.79442,                0.46619,                 0.5592,                0.87085,                0.00109,                0.00109,                0.00109
                     92,                0.71591,                0.57729,                0.98193,                0.76686,                0.82509,                0.87897,                0.79471,                0.46586,                 0.5585,                0.87084,               0.000991,               0.000991,               0.000991
                     93,                0.70894,                0.57215,                0.97553,                0.76754,                0.82533,                0.87917,                0.79495,                0.46568,                0.55801,                0.87074,               0.000892,               0.000892,               0.000892
                     94,                0.70497,                0.56562,                0.97426,                0.76808,                0.82516,                0.87949,                0.79556,                0.46526,                0.55746,                0.87057,               0.000793,               0.000793,               0.000793
                     95,                0.70056,                 0.5628,                0.97308,                0.76933,                0.82539,                0.87959,                0.79607,                0.46492,                0.55703,                 0.8705,               0.000694,               0.000694,               0.000694
                     96,                 0.6958,                0.55942,                 0.9727,                0.76961,                 0.8252,                0.87987,                0.79632,                0.46453,                0.55669,                0.87035,               0.000595,               0.000595,               0.000595
                     97,                0.69346,                0.55502,                0.97099,                0.76801,                0.82732,                0.88014,                 0.7965,                0.46408,                 0.5565,                0.87017,               0.000496,               0.000496,               0.000496
                     98,                0.68996,                0.55075,                0.96842,                0.77075,                0.82502,                0.88032,                0.79668,                0.46359,                0.55614,                0.86996,               0.000397,               0.000397,               0.000397
                     99,                 0.6873,                0.54796,                0.96703,                 0.7729,                0.82245,                 0.8805,                0.79716,                0.46325,                0.55597,                0.86977,               0.000298,               0.000298,               0.000298
                    100,                0.68343,                0.54432,                0.96502,                0.77194,                0.82529,                0.88058,                0.79729,                0.46302,                0.55568,                 0.8695,               0.000199,               0.000199,               0.000199
